Time,BTC / USD Denominated Closing Price,BTC / MVRV (Market Cap / Realized Market Cap),BTC / 30 Day Volatility,BTC / 180 Day Volatility
18/07/2010,0.08584,146.0383322,,
19/07/2010,0.0808,62.56512971,,
20/07/2010,0.074735729,45.10663005,,
21/07/2010,0.079192863,38.35756046,,
22/07/2010,0.05846976,25.1323482,,
23/07/2010,0.06059287,23.1909876,,
24/07/2010,0.05454,17.07191365,,
25/07/2010,0.050540618,14.29480012,,
26/07/2010,0.056,12.57111018,,
27/07/2010,0.058622016,12.41061061,,
28/07/2010,0.058911099,11.86773641,,
29/07/2010,0.0699,13.54121185,,
30/07/2010,0.064657382,12.03290217,,
31/07/2010,0.067545799,12.05286591,,
01/08/2010,0.0611,10.44892297,,
02/08/2010,0.06,9.9762043,,
03/08/2010,0.060012151,9.60461264,,
04/08/2010,0.05701578,8.82883787,,
05/08/2010,0.061,9.19506028,,
06/08/2010,0.061671315,9.02581206,,
07/08/2010,0.059003945,8.42875731,,
08/08/2010,0.0609,8.47702357,,
09/08/2010,0.0704,9.28085443,,
10/08/2010,0.069338729,8.88387323,,
11/08/2010,0.067,8.33793184,,
12/08/2010,0.07,8.49787609,,
13/08/2010,0.0645,7.56762836,,
14/08/2010,0.066996434,7.65189676,,
15/08/2010,0.065117932,7.26649664,,
16/08/2010,0.0655,7.13837504,,
17/08/2010,0.07,7.50985867,0.089089161,
18/08/2010,0.068,7.14796434,0.088618528,
19/08/2010,0.0667,6.93168437,0.087610017,
20/08/2010,0.0655,6.69412905,0.086859769,
21/08/2010,0.0664,6.61775626,0.066333783,
22/08/2010,0.065928989,6.41568722,0.066094298,
23/08/2010,0.06491,6.22495622,0.062994053,
24/08/2010,0.065,6.13247009,0.061076838,
25/08/2010,0.0648,6.02386076,0.058448088,
26/08/2010,0.064075114,5.87469011,0.0579977,
27/08/2010,0.065,5.87209239,0.058034082,
28/08/2010,0.0646,5.77497614,0.048626179,
29/08/2010,0.064,5.66272908,0.046528897,
30/08/2010,0.06497,5.69050244,0.045883125,
31/08/2010,0.06,5.19159819,0.044476348,
01/09/2010,0.062024828,5.31891315,0.044764533,
02/09/2010,0.0634,5.38522542,0.04492487,
03/09/2010,0.06085,5.12179597,0.044547647,
04/09/2010,0.062178276,5.18235949,0.042984821,
05/09/2010,0.06165,5.06897347,0.042970863,
06/09/2010,0.0616,5.03207272,0.042154187,
07/09/2010,0.061239118,4.94816313,0.041782358,
08/09/2010,0.061,4.88836125,0.031593006,
09/09/2010,0.061114971,4.79545778,0.03155272,
10/09/2010,0.061011524,4.74669508,0.031037426,
11/09/2010,0.063620865,4.91061134,0.030938959,
12/09/2010,0.0615,4.69699949,0.027818031,
13/09/2010,0.06218,4.70641545,0.026916475,
14/09/2010,0.06199,4.64512859,0.026467759,
15/09/2010,0.0604,4.45428881,0.026793215,
16/09/2010,0.0619,4.47633904,0.024011615,
