"Time"	"BTC / USD Denominated Closing Price"	"BTC / MVRV (Market Cap / Realized Market Cap)"	"BTC / 30 Day Volatility"	"BTC / 180 Day Volatility"
"2010-07-18"	0.08584	146.0383322
"2010-07-19"	0.0808	62.56512971
"2010-07-20"	0.0747357288135593	45.10663005
"2010-07-21"	0.0791928626534191	38.35756046
"2010-07-22"	0.0584697603740503	25.1323482
"2010-07-23"	0.0605928696668615	23.1909876
"2010-07-24"	0.05454	17.07191365
"2010-07-25"	0.050540618351841	14.29480012
"2010-07-26"	0.056	12.57111018
"2010-07-27"	0.058622016364699	12.41061061
"2010-07-28"	0.0589110987726476	11.86773641
"2010-07-29"	0.0699	13.54121185
"2010-07-30"	0.064657381648159	12.03290217
"2010-07-31"	0.0675457989479836	12.05286591
"2010-08-01"	0.0611	10.44892297
"2010-08-02"	0.06	9.9762043
"2010-08-03"	0.0600121507890123	9.60461264
"2010-08-04"	0.0570157802454705	8.82883787
"2010-08-05"	0.061	9.19506028
"2010-08-06"	0.0616713150204559	9.02581206
"2010-08-07"	0.0590039450613676	8.42875731
"2010-08-08"	0.0609	8.47702357
"2010-08-09"	0.0704	9.28085443
"2010-08-10"	0.0693387288135593	8.88387323
"2010-08-11"	0.067	8.33793184
"2010-08-12"	0.07	8.49787609
"2010-08-13"	0.0645	7.56762836
"2010-08-14"	0.0669964336645237	7.65189676
"2010-08-15"	0.0651179322033898	7.26649664
"2010-08-16"	0.0655	7.13837504
"2010-08-17"	0.07	7.50985867	0.08908916109266378
"2010-08-18"	0.068	7.14796434	0.08861852841688375
"2010-08-19"	0.0667	6.93168437	0.08761001718644043
"2010-08-20"	0.0655	6.69412905	0.08685976877826744
"2010-08-21"	0.0664	6.61775626	0.06633378347988744
"2010-08-22"	0.0659289888953828	6.41568722	0.06609429768897045
"2010-08-23"	0.06491	6.22495622	0.06299405318019852
"2010-08-24"	0.065	6.13247009	0.061076838381397706
"2010-08-25"	0.0648	6.02386076	0.05844808811403555
"2010-08-26"	0.0640751139684395	5.87469011	0.05799770024145805
"2010-08-27"	0.065	5.87209239	0.058034082049165915
"2010-08-28"	0.0646	5.77497614	0.048626178685457294
"2010-08-29"	0.064	5.66272908	0.04652889654370629
"2010-08-30"	0.06497	5.69050244	0.045883125182822795
"2010-08-31"	0.06	5.19159819	0.04447634773413157
"2010-09-01"	0.0620248275862069	5.31891315	0.044764533153407705
"2010-09-02"	0.0634	5.38522542	0.04492487040826867
"2010-09-03"	0.06085	5.12179597	0.04454764743600035
"2010-09-04"	0.062178275862069	5.18235949	0.042984821132916906
"2010-09-05"	0.06165	5.06897347	0.04297086263913634
"2010-09-06"	0.0616	5.03207272	0.04215418683372741
"2010-09-07"	0.0612391180596142	4.94816313	0.04178235799984721
"2010-09-08"	0.061	4.88836125	0.03159300601167716
"2010-09-09"	0.0611149707773232	4.79545778	0.03155271986532424
